"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SANIMA","2022-05-19","303","305","301","302.7","-0.39 %","26,003.00"
"SANIMA","2022-05-18","304","305","300","303.9","-0.01 %","30,317.00"
"SANIMA","2022-05-17","315","315","305.1","305.8","-2.61 %","11,627.00"
"SANIMA","2022-05-12","320","320","309","314","0.00 %","22,214.00"
"SANIMA","2022-05-11","309","316","308","314","1.62 %","26,475.00"
"SANIMA","2022-05-10","306","309.9","303","309","3.00 %","28,726.00"
"SANIMA","2022-05-09","302.9","304.5","295","300","0.33 %","41,675.00"
"SANIMA","2022-05-08","302","302","293","299","-0.66 %","37,306.00"
"SANIMA","2022-05-05","305","305","300","301","-0.66 %","24,627.00"
"SANIMA","2022-05-04","305","305","299.8","303","-0.56 %","35,810.00"
"SANIMA","2022-05-02","310","310","303","304.7","-1.39 %","39,389.00"
"SANIMA","2022-04-28","318","318","308","309","-1.21 %","46,461.00"
"SANIMA","2022-04-27","308","313","307.5","312.8","0.13 %","33,814.00"
"SANIMA","2022-04-26","311","316","311","312.4","-0.19 %","12,732.00"
"SANIMA","2022-04-25","316","318","312","313","-0.32 %","23,389.00"
"SANIMA","2022-04-24","307.5","315","307.5","314","2.28 %","46,301.00"
"SANIMA","2022-04-21","312.5","312.5","306","307","-1.95 %","63,665.00"
"SANIMA","2022-04-20","315","320","312","313.1","-0.60 %","23,798.00"
"SANIMA","2022-04-19","311","318","311","315","0.00 %","26,229.00"
"SANIMA","2022-04-18","317.5","318","311","315","-0.60 %","43,034.00"
"SANIMA","2022-04-17","317","325","316","316.9","-0.03 %","37,229.00"
"SANIMA","2022-04-13","316.1","318","314","317","0.63 %","31,584.00"
"SANIMA","2022-04-12","315","317.9","313","315","0.00 %","45,974.00"
"SANIMA","2022-04-11","319","325","314","315","0.13 %","52,932.00"
"SANIMA","2022-04-07","320","320","314.6","314.6","-0.13 %","70,891.00"
"SANIMA","2022-04-06","317","324","314","315","-1.22 %","39,275.00"
"SANIMA","2022-04-05","325","325","316.5","318.9","-0.65 %","71,156.00"
"SANIMA","2022-04-04","323","325","319","321","-0.62 %","67,518.00"
"SANIMA","2022-04-03","321.3","325","319.4","323","0.56 %","25,112.00"
"SANIMA","2022-03-31","325","332","320","321.2","-0.62 %","71,820.00"
"SANIMA","2022-03-30","323","325","322.2","323.2","0.06 %","67,618.00"
"SANIMA","2022-03-29","327","327","322","323","-0.62 %","44,230.00"
"SANIMA","2022-03-28","328","329","324.1","325","-0.91 %","68,015.00"
"SANIMA","2022-03-27","336","336","327.4","328","-1.26 %","55,695.00"
"SANIMA","2022-03-24","334.1","337","332.2","332.2","-0.89 %","33,607.00"
"SANIMA","2022-03-23","340","340","335","335.2","-1.03 %","37,830.00"
"SANIMA","2022-03-22","340","340","334","338.7","1.10 %","66,187.00"
"SANIMA","2022-03-21","335","335.5","329","335","0.00 %","46,666.00"
"SANIMA","2022-03-20","339","340","332","335","-0.36 %","44,513.00"
"SANIMA","2022-03-16","340","340","334","336.2","-1.38 %","61,454.00"
"SANIMA","2022-03-15","346","346","338","340.9","-0.61 %","54,912.00"
"SANIMA","2022-03-14","343","343.9","337.6","343","1.63 %","24,357.00"
"SANIMA","2022-03-13","331","341","330","337.5","2.86 %","84,280.00"
"SANIMA","2022-03-10","326","329.9","323","328.1","0.40 %","43,848.00"
"SANIMA","2022-03-09","330","330.9","324.1","326.8","0.52 %","60,487.00"
"SANIMA","2022-03-07","332","332","323","325.1","-0.28 %","55,568.00"
"SANIMA","2022-03-06","326","332","325.2","326","0.00 %","65,869.00"
"SANIMA","2022-03-02","330","332","322.1","326","-1.51 %","82,983.00"
"SANIMA","2022-02-28","340","340","329.6","331","-1.02 %","78,521.00"
"SANIMA","2022-02-27","332","336","330","334.4","0.42 %","28,879.00"
"SANIMA","2022-02-24","336.5","338","331.1","333","-1.19 %","48,777.00"
"SANIMA","2022-02-23","340.1","342","337","337","-0.33 %","44,419.00"
"SANIMA","2022-02-22","340","343","338","338.1","0.03 %","46,629.00"
"SANIMA","2022-02-21","340","343","336","338","0.00 %","64,069.00"
"SANIMA","2022-02-20","340","343","325","338","-1.46 %","43,187.00"
"SANIMA","2022-02-17","345","346","342","343","-0.35 %","35,697.00"
"SANIMA","2022-02-16","350","350","343","344.2","-0.23 %","23,386.00"
"SANIMA","2022-02-15","350","350.2","342.5","345","0.00 %","97,302.00"
"SANIMA","2022-02-14","342","354","342","345","-0.86 %","59,328.00"
"SANIMA","2022-02-13","348","352","341","348","-1.97 %","80,768.00"
"SANIMA","2022-02-10","360","360","353","355","-0.84 %","50,955.00"
"SANIMA","2022-02-09","364","364","355.1","358","-0.61 %","47,307.00"
"SANIMA","2022-02-08","370","377.2","360","360.2","0.00 %","48,181.00"
"SANIMA","2022-02-07","363.5","365","360","363.5","0.14 %","22,657.00"
"SANIMA","2022-02-06","368","368","362.6","363","-1.63 %","53,066.00"
"SANIMA","2022-02-03","376","376.3","368","369","0.00 %","66,693.00"
"SANIMA","2022-02-01","367","369","359.7","369","0.54 %","84,378.00"
"SANIMA","2022-01-31","376","377","364","367","-0.81 %","34,113.00"
"SANIMA","2022-01-30","367","375","367","370","2.75 %","59,035.00"
"SANIMA","2022-01-27","358","363","357","360.1","0.31 %","33,397.00"
"SANIMA","2022-01-26","365","365","356","359","-1.64 %","49,631.00"
"SANIMA","2022-01-25","374.3","374.3","356","365","-0.54 %","73,933.00"
"SANIMA","2022-01-24","380","381","367","367","-4.18 %","92,034.00"
"SANIMA","2022-01-23","391","392","381","383","-2.05 %","75,601.00"
"SANIMA","2022-01-20","391","396.5","385.5","391","-0.26 %","61,543.00"
"SANIMA","2022-01-19","396","402","391.5","392","-1.01 %","81,500.00"
"SANIMA","2022-01-18","398","402","390","396","0.25 %","117,028.00"
"SANIMA","2022-01-17","397","400","390","395","0.51 %","72,704.00"
"SANIMA","2022-01-16","384","396","383","393","2.34 %","154,581.00"
